Crop,Provinces,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Irrigated Palay,Sultan Kudarat,44690,42730,44870,36570,29610,36750,43460,55420,61459,74521,72386,57174,80690,85448,93949,91645,90500,94011,90080,94948,95412,94827,96188,93336,94629,95033,94452,91467,91394,90774,98638,96343.25,87458.75,88887,95757.73,91629
Irrigated Palay,Agusan del Norte,6590,7470,5640,9880,16120,6420,10350,12090,17518,17826,15908,11068,12540,13890,16304,15635,15013,16557,16333,17523,18150,17738,16413,14781,16934,17736,21068,20976,17783,20567,18256,17595,18241,18308,17393,19151.77
Irrigated Palay,Agusan del Sur,5810,6400,8400,8750,7310,5720,8900,15600,22440,22251,19893,24134,24920,27185,28145,28955,27445,29595,29090,29890,32449,33483,31495,33499,33682,36285,38917,38994,34776,34712,36609,39757,32694,43210,38585,39656
Irrigated Palay,Dinagat Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,2575,2230,1915,2034,2049,1988,1983,2225,2370,1705,1880,1831,1954.61
Irrigated Palay,Surigao del Norte,13090,16870,18640,17780,19810,17730,16590,15260,19835,19121,19612,15645,20850,19617,19111,18843,17888,17974,17284,18470,18052,18477,18658,13999,16132,16298,16409,15649,13911,13707,12301,13841,14493.69,14279.51,13012,12853
Irrigated Palay,Surigao del Sur,11950,11230,11740,12850,13870,11930,12630,14860,16320,18531,15574,18368,15895,16990,15429,16238,16524,16200,17880,19828,21225,19575,18745,20126,19286,17255,21358,22404,21934,21907,20252,23159,19168.25,19569.3,17603,17936.37
Irrigated Palay,Basilan,2900,2130,2170,2330,2660,2140,990,580,530,595,530,257,460,455,448,417,380,460,600,565,536,820,712,1103,900,1082,1657,1346,991,948,596,769,460,98,163.38,253.93
Irrigated Palay,Lanao del Sur,2190,5180,2400,2410,2550,2960,3260,4820,11487,11580,11064,11552,12379,12665,18039,18996,19076,15220,17820,19600,20282,17723,19663,16368,14338,15289,17011,19457,11198,11419,15235,14551,15731.53,18856,18999.5,19030
Irrigated Palay,Maguindanao,19260,25010,26130,21540,15760,17660,20120,35440,26860,26149,24263,20000,31198,30363,30690,36708,31912,40961,47149,39446,50625,45459,32500,31967,41604,33274,39058,35908,34845,27789,19599,24562,26502,26187.62,25745.77,34297.14
Irrigated Palay,Sulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,50,70,90,100,0,90,70,80,90,110,10,20,0
Irrigated Palay,Tawi-tawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rainfed Palay,Abra,7250,8800,7860,7800,6900,6170,6360,6820,4970,4350,4440,4270,4080,4086,4086,4142,4146,4129,4148,4149,9895,8920,8920,8910,9078,9108,9111,9106,9060,9074,9080,9061,8993,8833.8,8834.14,7246.65
Rainfed Palay,Apayao,0,0,0,0,0,0,0,928,838,545,432,329,301,6433,5248,5269,3854,4653,4850,5100,12668,12668,12193,12141,12057,12057,11584,11299,11282,8982,9368,7379,6876,8206,7892.2,6274.82
Rainfed Palay,Benguet,80,270,10,10,10,0,10,980,896,906,636,488,596,971,916,760,754,760,780,780,1010,1010,1006,1006,913,1086,1086,1086,1084,1288,1221,1221,1221,1221,939,939
